pair_index,start_frame,end_frame,flow_magnitude_mean,flow_magnitude_std,flow_smoothness_score,histogram_consistency_score,brightness_delta,flow_temporal_delta
1,0,2,0.9750822186470032,1.3442856073379517,0.6358062361666249,0.9982416124090515,0.004859628419268902,
2,2,4,0.608529269695282,1.4445838928222656,0.5481026481631146,0.9997475427867428,0.001280470830307412,0.5501386523246765
3,4,6,0.5072048902511597,1.4268505573272705,0.5339770190210484,0.9992668629078525,0.0017142338416847869,0.36335915327072144
4,6,8,0.5452893972396851,1.368429183959961,0.5726946176615106,0.9992891329625094,0.0015352517550229483,0.2064138501882553
5,8,10,0.8188371062278748,1.7644482851028442,0.6123608759431453,0.9982073003129892,0.0018922173807794929,0.37014901638031006
6,10,12,0.8572316765785217,1.5899399518966675,0.6329108941426265,0.9996079452255598,0.0014905591866376522,0.2541320323944092
7,12,14,0.7911746501922607,1.727444052696228,0.637267034640982,0.9996992137911498,0.0018802953280077084,0.28618356585502625
8,14,16,0.8031930327415466,1.870582938194275,0.6312860287089237,0.9993134169586764,0.00020240256596465445,0.2853156626224518
9,16,18,0.591012179851532,1.5914654731750488,0.5782772407794179,0.9986199041126882,0.0014773662551440525,0.33465731143951416
10,18,20,0.8147087097167969,1.3356757164001465,0.6252788051954984,0.9997013483880659,0.0003107903655289457,0.43727773427963257
11,20,22,0.6824706196784973,1.3106573820114136,0.6239809797209794,0.9991398004805981,5.6039699830534584e-05,0.34042057394981384
12,22,24,0.6916517019271851,1.1827579736709595,0.6149109301310955,0.9982707995403117,0.002629901960784331,0.34070515632629395
13,24,26,1.1860312223434448,1.0338081121444702,0.7126059864344245,0.9972307653063666,0.004237260953764255,0.6415295004844666
14,26,28,0.7539302706718445,1.7062859535217285,0.5758113158961249,0.9996191674258896,0.0014632352941176263,0.8048083186149597
15,28,30,0.6123150587081909,1.774513840675354,0.6151779071781749,0.9997591600440437,9.991527475189388e-05,0.4040834307670593
16,30,32,0.6049569845199585,1.6028367280960083,0.5775272469221125,0.9976808295036954,0.001495854514645345,0.2653052508831024
17,32,34,0.8710371851921082,1.4645048379898071,0.645012251926507,0.9988406378461465,0.002750121036068698,0.468077689409256
18,34,36,0.7462041974067688,1.4430068731307983,0.6372296309867279,0.9997423192191112,0.0013124243524569867,0.31505465507507324
19,36,38,0.5861464738845825,1.3800944089889526,0.6005344585456357,0.9996012820959297,0.00020228152989587578,0.28158247470855713
20,38,40,0.6629092693328857,1.3423153162002563,0.6079540679665556,0.9989211971354636,0.0019401174049866743,0.25231119990348816
21,40,42,0.9605110883712769,1.3331594467163086,0.6555926701089871,0.9989168013226162,0.0019301924473493215,0.40723225474357605
22,42,44,0.602500319480896,1.4307254552841187,0.5959716200078923,0.9996847209277495,0.0008024086177680911,0.4603995978832245
23,44,46,1.2022100687026978,1.179067850112915,0.7212724436787,0.9993654275758579,0.0008050411522633749,0.72300124168396
24,46,48,0.41213807463645935,1.1629289388656616,0.5377735366038077,0.9989397844644464,0.0009798172355361956,0.8745526075363159
25,48,50,1.2332515716552734,0.9656341075897217,0.7162646483094143,0.9984839156350851,0.0021931433067054473,0.9316951036453247
26,50,52,0.78008633852005,1.4568114280700684,0.5865845017369654,0.9995742537291652,0.0006736867586541462,0.7282461524009705
27,52,54,0.7200323343276978,1.318243384361267,0.6129498566142667,0.9997732152935603,0.0021579218106996256,0.32070422172546387
28,54,56,0.9584413766860962,1.5580875873565674,0.6580708962273093,0.9990074494182286,0.0009472282740256577,0.36830663681030273
29,56,58,0.6304088234901428,1.4895915985107422,0.5915386908792577,0.9969064482817529,0.0037805918663761373,0.43501347303390503
30,58,60,1.489585041999817,1.0540311336517334,0.7107745531104167,0.9994850976949086,0.0010267187121762444,1.0883058309555054
31,60,62,1.182973027229309,1.4404349327087402,0.7166735797341494,0.9996462212260383,0.0011282679738562895,0.5564169883728027
32,62,64,1.103968620300293,1.416124701499939,0.6691653121455068,0.9978426141835004,0.004660947712418317,0.38830316066741943
33,64,66,0.8548707365989685,1.5314756631851196,0.6136699372184027,0.9965931070846401,4.360324376667668e-05,0.461062490940094
34,66,68,1.2006603479385376,1.5444159507751465,0.6681976706300612,0.9994297280000042,0.0023310033890099335,0.5999813675880432
35,68,70,0.8188675045967102,1.6813712120056152,0.6087056039220756,0.9996800466316742,0.0012290910191236626,0.6126026511192322
36,70,72,0.8424131870269775,1.2890939712524414,0.6172975702234846,0.9974040331272551,0.002313786008230456,0.40756335854530334
37,72,74,1.134878158569336,1.2222881317138672,0.6657375158533634,0.9956854068062821,0.003743343016218814,0.548522412776947
38,74,76,1.272416353225708,1.1924262046813965,0.6683063941228806,0.999329985939039,0.0007548111837327176,0.39571285247802734
39,76,78,0.7478461265563965,1.6783629655838013,0.605183353495166,0.9996214912726527,4.4753086419713206e-05,0.8743661046028137
40,78,80,0.6982436776161194,1.4433772563934326,0.5812351424231224,0.9986498743950569,0.0008251936577099439,0.37305501103401184
41,80,82,0.7212380170822144,1.7766406536102295,0.5911948230621978,0.9974254665677327,0.0016847312999273,0.4022214710712433
42,82,84,1.4092521667480469,1.8698046207427979,0.7006823198205183,0.9994088317594201,0.001745430888404731,0.7901121377944946
43,84,86,0.8236932158470154,1.7870019674301147,0.6299301688907113,0.9996095443244363,0.001317235536189787,0.7214868068695068
44,86,88,0.789029598236084,1.602799415588379,0.6248629210489013,0.997938021988364,0.002464173323650398,0.2757207453250885
45,88,90,0.7585368156433105,1.432827115058899,0.6094383615044315,0.996020069670368,0.0014137920600338916,0.2692300081253052
46,90,92,0.784081757068634,1.4519888162612915,0.6326916249997118,0.9992208330600255,0.0034503146937787665,0.2464672327041626
47,92,94,0.8230769634246826,1.3724640607833862,0.6548276606487976,0.9997238372833575,0.00012624061970467615,0.30636894702911377
48,94,96,0.6699934005737305,1.3983495235443115,0.6294168117970173,0.9986675650266074,0.0018067961752602502,0.32459932565689087
49,96,98,0.8970432281494141,1.3132154941558838,0.6616465296440185,0.9977454701104241,0.0031271181312030882,0.36701515316963196
50,98,100,0.8032334446907043,1.7230967283248901,0.6171203058913566,0.9997480442208645,0.0013798717017671769,0.3965011239051819
51,100,102,0.8625754117965698,0.982889711856842,0.6775197718863354,0.9996771430439907,0.0023318809005082874,0.45979467034339905
52,102,104,1.1859121322631836,1.090203881263733,0.7116296214898841,0.9981396098780235,7.307552650687166e-05,0.3884158730506897
53,104,106,0.7338944673538208,1.0007482767105103,0.6412325461651656,0.995731730698449,0.0022145364318567062,0.5163508653640747
54,106,108,0.8521561026573181,1.106803059577942,0.6535411892728566,0.9996501553725661,0.0005791878479787238,0.2910064160823822
55,108,110,0.8164838552474976,1.0684149265289307,0.6696432206188337,0.9996475862931354,0.00014548535463559942,0.283572793006897
56,110,112,0.8698521852493286,1.1985713243484497,0.6764686666804675,0.9996607290261761,0.0004079823287339024,0.2473907768726349
57,112,114,0.9325440526008606,1.3062509298324585,0.6739316352069099,0.9995115125354881,0.002289760348583858,0.17463266849517822
58,114,116,0.8362113833427429,1.4762437343597412,0.6557848712876174,0.9996804853863971,0.0005140704429920095,0.24989928305149078
59,116,118,0.7286216020584106,1.4667999744415283,0.6272387066305356,0.9996393605888549,0.00043724279835388735,0.2244998663663864
60,118,120,0.5099549293518066,1.289298176765442,0.571384973795158,0.9976391253597362,0.0024452614379084636,0.3122248351573944
